200	
39055	
98395	
449	117
230	30
806	407
948	595
952	601
1104	880
653	257
1056	779
1085	838
787	386
934	574
1133	946
133	10
873	489
877	494
656	259
1044	757
707	305
898	522
978	641
1145	977
1040	750
938	579
1121	919
972	632
1057	782
820	423
1104	879
699	297
522	160
810	412
722	319
726	323
1114	902
1130	939
980	644
522	160
451	118
1117	910
430	107
1113	899
530	165
1078	825
1136	954
988	658
655	258
831	436
1068	804
657	260
861	473
1141	966
673	274
500	146
618	228
274	43
873	489
443	114
938	579
846	455
915	546
688	287
694	293
426	105
1084	837
1016	706
222	28
1028	728
366	77
824	428
985	653
354	72
103	6
483	136
980	645
1117	910
952	601
900	525
1056	780
754	351
859	471
583	202
94	5
598	213
560	185
785	384
837	444
1059	785
650	254
904	531
1141	966
1075	817
980	645
690	289
759	356
527	163
895	518
872	488
1049	767
237	32
1137	956
796	396
347	69
691	290
790	389
704	302
1083	834
609	221
1041	752
1140	965
1010	696
1002	681
736	333
268	41
996	671
752	349
1115	904
1034	738
710	308
1117	909
103	6
970	629
1073	814
1009	693
1081	830
111	7
1113	900
1130	940
1086	841
696	295
602	216
1149	986
594	210
670	271
1040	750
988	657
1019	711
657	260
1095	861
630	238
1103	877
268	41
881	500
1151	993
520	159
769	367
805	406
1101	872
436	110
872	488
704	302
731	328
1136	954
1032	735
665	267
528	164
769	367
1002	681
938	580
665	267
290	48
1045	758
226	29
1036	741
680	280
908	536
1058	784
451	118
1095	859
873	489
344	68
1007	690
1115	905
582	201
1016	705
812	414
1034	739
1061	790
471	129
609	221
1064	796
1136	954
42	1
602	216
570	192
834	440
752	349
1102	876
481	135
670	271
555	182
1128	936
893	515
1092	853
1104	879
299	51
667	269
1091	852
562	187
1142	970
830	435
