26.75	22.15	0
29.8	22.15	0
31.55	21.1	0
27.7	20.85	0
29.9	19.95	0
26.8	19.05	0
28.35	18.25	0
30.4	17.85	0
27.25	16.7	0
29.05	16	0
27.15	14.85	0
28.2	13.95	0
30.35	13.85	0
27.25	11.95	0
29.45	12.05	0
31.55	12.2	0
33.05	10.65	0
29.95	9.85	0
28	9.75	0
27.15	7.85	0
29.15	8.1	0
31.95	8.6	0
34.7	8.55	0
34.8	12.25	0
36.3	15.25	0
36.6	13.2	0
38.7	14.25	0
40.3	15.5	0
42.25	14.25	0
40.7	12.8	0
38.6	12.1	0
36.1	10.5	0
38.35	10.4	0
37.65	8.4	0
40.15	8.55	0
40.8	10.65	0
42.9	11.25	0
41.95	8.5	0
42.45	17.45	0
40.25	18.45	0
42.55	19.45	0
40.95	20.65	0
42.25	22.15	0
38.85	22.4	0
38.4	20	0
35.25	20.2	0
33.25	21	0
34.15	22.35	0
35.55	22.5	0
36.55	21.4	0
33.35	19.6	1
32.85	19.55	1
32.4	19.15	1
32.45	18.7	1
32.8	18.9	1
33.2	19.2	1
33.7	19.05	1
33.4	18.75	1
33.05	18.5	1
32.8	18.2	1
34	18.7	1
33.85	18.25	1
33.35	18.15	1
32.8	17.7	1
33.15	17.55	1
33.75	17.75	1
34.15	17.85	1
34.35	18.35	1
34.95	18.5	1
34.75	18.05	1
35.15	18.05	1
35.65	18.15	1
35.45	18.7	1
36.05	18.75	1
36.25	18.2	1
36.6	18.7	1
37.1	18.5	1
36.75	18.1	1
37.65	18.3	1
37.15	17.85	1
37.65	17.75	1
38.05	18.1	1
38.45	17.7	1
38.8	17.3	1
38.2	17.25	1
38.6	16.8	1
38.25	16.35	1
37.9	16.85	1
37.5	17.3	1
37.65	16.4	1
37.15	16.7	1
37	17.15	1
36.6	17.4	1
36.15	17.55	1
35.75	17.65	1
36.6	16.9	1
36.05	16.95	1
35.45	17	1
35.3	17.55	1
34.9	17	1
34.75	17.45	1
34.3	17.35	1
34.3	16.8	1
33.9	17.2	1
33.35	17.05	1
32.85	16.95	1
33.55	16.6	1
34	16.4	1
32.45	17.2	1
32.1	16.85	1
31.7	16.65	1
31.2	16.35	1
30.95	15.75	1
31.15	15.35	1
31.45	15.1	1
31.75	14.7	1
32.15	14.35	1
32.65	14.15	1
33.15	14.05	1
33.8	13.9	1
34.35	14.2	1
34.3	14.85	1
34.05	15.35	1
33.9	15.95	1
33.35	16.05	1
33	16.5	1
32.45	16.6	1
31.95	16.25	1
31.5	15.85	1
31.75	15.4	1
32.15	15.8	1
32.55	16.1	1
32.9	15.7	1
32.55	15.4	1
32.05	15.2	1
32.5	14.8	1
33	15.25	1
33.5	15.6	1
33.6	15.05	1
32.9	14.7	1
33.3	14.5	1
33.8	14.5	1
9.2	22.35	2
10.9	22.35	2
12.45	22.3	2
13.95	22.05	2
14.65	20.3	2
13.15	20.8	2
11.6	20.95	2
10.25	21.25	2
9.2	20.8	2
8.05	21.55	2
7.15	19.9	2
8.55	20	2
8.5	19.2	2
7.35	18.3	2
8.25	16.65	2
8.95	18	2
9.6	18.85	2
9.65	19.75	2
10.2	20.25	2
10.9	20.3	2
12.15	20	2
11.25	19.75	2
10.8	19.6	2
10.4	19.55	2
10.65	19.35	2
10.3	19.15	2
10.95	19.1	2
10.6	18.85	2
10.05	18.1	2
10.35	16.9	2
10.05	15.9	2
11.15	18.1	2
12.1	18.75	2
13.2	19.2	2
11.5	17.1	2
12.65	17.65	2
13.9	16.7	2
12.6	15.8	2
14.45	18.35	3
15.95	20.75	3
16.95	21.6	3
17.9	21.95	3
19	22.7	3
20.45	22.75	3
19.1	21.7	3
20.4	21.4	3
21.95	21.9	3
18.65	20.7	3
17.75	20.55	3
17.05	19.85	3
15.75	19.45	3
15.75	18.25	3
16.35	16.9	3
17.2	15.9	3
17.9	17	3
17.3	17.75	3
17	18.9	3
17.8	18.65	3
17.85	19.5	3
18.5	19.9	3
19.1	19.95	3
19.55	20.55	3
20.1	19.9	3
19.55	19.3	3
18.95	19.3	3
18.55	19.2	3
18.45	18.85	3
18.85	18.9	3
19.2	18.8	3
18.75	18.55	3
18.3	18.1	3
19.1	17.8	3
19	16.75	3
18.75	15.5	3
19.65	18.2	3
20.1	18.95	3
21.25	20.4	3
21.45	19	3
20.9	17.9	3
20.25	17.2	3
20.1	15.4	3
21.4	15.95	3
22.2	17.15	3
11.4	12.55	4
12.05	12.75	4
12.7	13	4
13.35	13.05	4
14.2	12.95	4
15.05	12.95	4
15.6	12.95	4
16.1	13.1	4
15.95	12.6	4
15.4	12.45	4
14.65	12.4	4
13.85	12.4	4
13.15	12.2	4
12.65	12.4	4
11.9	12.1	4
12	11.5	4
12.65	11.65	4
13.4	11.65	4
14.1	11.7	4
14.6	11.8	4
15.2	11.95	4
15.05	11.55	4
14.45	11.2	4
13.95	10.9	4
13.05	11.1	4
